code ,name_en ,,,,,,,,,
132,Eldama Ravine,,,,,,,,,
133,Laikipia West,,,,,,,,,
134,Laikipia East,,,,,,,,,
135,Naivasha,,,,,,,,,
136,Nakuru Town,,,,,,,,,
137,KURESOI,,,,,,,,,
138,Molo,,,,,,,,,
139,Rongai,,,,,,,,,
140,Subukia,,,,,,,,,
141,Kilgoris,,,,,,,,,
142,Narok North,,,,,,,,,
143,Narok South,,,,,,,,,
144,Kajiado North,,,,,,,,,
145,Kajiado Central,,,,,,,,,
146,Kajiado South,,,,,,,,,
147,Bomet,,,,,,,,,
148,Chepalungu,,,,,,,,,
149,Sotik,,,,,,,,,
150,Konoin,,,,,,,,,
151,Buret,,,,,,,,,
152,Belgut,,,,,,,,,
153,Ainamoi,,,,,,,,,
154,Kipkelion,,,,,,,,,
155,Malava,,,,,,,,,
156,Lugari,,,,,,,,,
157,Mumias,,,,,,,,,
158,Matungu,,,,,,,,,
159,Lurambi,,,,,,,,,
160,Shinyalu,,,,,,,,,
161,Ikolomani,,,,,,,,,
162,Butere,,,,,,,,,
163,Khwisero,,,,,,,,,
164,Emuhaya,,,,,,,,,
165,Sabatia,,,,,,,,,
166,VIHIGA,,,,,,,,,
167,Hamisi,,,,,,,,,
168,Mt Elgon,,,,,,,,,
169,Kimilili,,,,,,,,,
170,Webuye,,,,,,,,,
171,Sirisia,,,,,,,,,
172,Kanduyi,,,,,,,,,
173,Bumula,,,,,,,,,
174,Amagoro,,,,,,,,,
175,Nambale,,,,,,,,,
176,Butula,,,,,,,,,
177,Funyula,,,,,,,,,
178,Budalangi,,,,,,,,,
179,Ugenya,,,,,,,,,
180,Alego Usonga,,,,,,,,,
181,Gem,,,,,,,,,
182,Bondo,,,,,,,,,
183,Rarieda,,,,,,,,,
184,Kisumu Town east,,,,,,,,,
185,Kisumu Town West,,,,,,,,,
186,Kisumu Rural,,,,,,,,,
187,Nyando,,,,,,,,,
188,Muhoroni,,,,,,,,,
189,Nyakach,,,,,,,,,
190,Kasipul Kabondo,,,,,,,,,
191,Karachuonyo,,,,,,,,,
192,Rangwe,,,,,,,,,
193,Ndhiwa,,,,,,,,,
194,Rongo,,,,,,,,,
195,Migori,,,,,,,,,
196,Uriri,,,,,,,,,
197,Nyatike,,,,,,,,,
198,Mbita,,,,,,,,,
199,Gwassi,,,,,,,,,
200,Kuria,,,,,,,,,
201,Bonchari,,,,,,,,,
202,South Mugirango,,,,,,,,,
203,Bomachoge,,,,,,,,,
204,Bobasi,,,,,,,,,
205,Nyaribari Masaba,,,,,,,,,
206,Nyaribari Chache,,,,,,,,,
207,Kitutu Chache,,,,,,,,,
208,Kitutu Masaba,,,,,,,,,
209,West Mugirango,,,,,,,,,
210,northmugirango Borabu,,,,,,,,,
016,Baringo County Council,,,,,,,,,
021,Bomet County Council,,,,,,,,,
026,Bomet Municipal Council,,,,,,,,,
031,Bondo County Council,,,,,,,,,
036,Bondo Town Council,,,,,,,,,
041,Bungoma County Council,,,,,,,,,
046,Bungoma Municipal Council,,,,,,,,,
051,Bureti County Council,,,,,,,,,
056,Burnt Forest Town Council,,,,,,,,,
061,Busia County Council,,,,,,,,,
066,Busia Municipal Council,,,,,,,,,
081,Chogoria Town Council,,,,,,,,,
086,Chuka Town Council,,,,,,,,,
091,Eldama Ravine Town Council,,,,,,,,,
096,Eldoret Municipal Council,,,,,,,,,
101,Embu County Council,,,,,,,,,
106,Embu Municipal Council,,,,,,,,,
111,Funyula Town Council,,,,,,,,,
116,Garissa County Council,,,,,,,,,
