org_id,name,name_simple,country_code,country_name,org_type,org_type_code,source_dataset,source_url
AM-COA-105005,RA Central Election Commission (Armenia),RA Central Election Commission,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105006,Securities Commission of RA (Armenia),Securities Commission of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105007,Civil Service Council of RA (Armenia),Civil Service Council of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105008,State Commission for the Protection of Economic Competition of RA (Armenia),State Commission for the Protection of Economic Competition of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105009,State Committee of the Real Estate Cadastre adjunct to the Government of RA (Armenia),State Committee of the Real Estate Cadastre adjunct to the Government of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105010,State Committee for Water Management of the Ministry of Territorial Administration (Armenia),State Committee for Water Management of the Ministry of Territorial Administration,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105012,National Commission for TV and Radio (Armenia),National Commission for TV and Radio,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105013,State Revenue Committee adjunct to the Government of RA (Armenia),State Revenue Committee adjunct to the Government of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105014,Armenian Rescue Service of the Ministry of Emergency Situations of RA (Armenia),Armenian Rescue Service of the Ministry of Emergency Situations of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105016,General Department of Civil Aviation adjunct to the Government of RA (Armenia),General Department of Civil Aviation adjunct to the Government of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105017,Public Protocol Service Agency of the Ministry of Foreign Affairs of RA (Armenia),Public Protocol Service Agency of the Ministry of Foreign Affairs of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105018,National Security Service adjunct to the Government of RA (Armenia),National Security Service adjunct to the Government of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105019,Police adjunct to the Government of RA (Armenia),Police adjunct to the Government of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105020,State Committee of the Real Estate Cadastre adjunct to the Government of RA (Armenia),State Committee of the Real Estate Cadastre adjunct to the Government of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105033,Council of Public TV and Radio Company of Armenia (Armenia),Council of Public TV and Radio Company of Armenia,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105034,Control Chamber of RA (Armenia),Control Chamber of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105035,Staff of Human Rights Defender (Armenia),Staff of Human Rights Defender,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-106001,Yerevan Municipality (Armenia),Yerevan Municipality,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-301007,Other bodies (Armenia),Other bodies,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104006,Ministry of Nature Protection of RA (Armenia),Ministry of Nature Protection of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104021,Ministry of Finance of RA (Armenia),Ministry of Finance of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-106002,Aragatsotn Marzpetaran (Armenia),Aragatsotn Marzpetaran,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-106003,Ararat Marzpetaran (Armenia),Ararat Marzpetaran,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-106004,Armavir Marzpetaran (Armenia),Armavir Marzpetaran,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-106005,Gegharkunik Marzpetaran (Armenia),Gegharkunik Marzpetaran,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-106006,Lori Marzpetaran (Armenia),Lori Marzpetaran,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-106007,Kotayk Marzpetaran (Armenia),Kotayk Marzpetaran,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-106008,Shirak Marzpetaran (Armenia),Shirak Marzpetaran,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-106010,Vayots dzor Marzpetaran (Armenia),Vayots dzor Marzpetaran,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-106011,Tavush Marzpetaran (Armenia),Tavush Marzpetaran,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-106009,Syunik Marzpetaran (Armenia),Syunik Marzpetaran,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104007,Ministry of Agriculture of RA (Armenia),Ministry of Agriculture of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-301002,Government of RA (Armenia),Government of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104023,Ministry of Emergency Situations of RA (Armenia),Ministry of Emergency Situations of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105015,State Committee of Science of the Ministry of Education and Science of RA (Armenia),State Committee of Science of the Ministry of Education and Science of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-102024,Judicial School (Armenia),Judicial School,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-103002,Special Investigatory Service of RA (Armenia),Special Investigatory Service of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-104024,Ministry of Diaspora of RA (Armenia),Ministry of Diaspora of RA,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105037,RA State Nuclear Safety Regulatory Committee by the Government (Armenia),RA State Nuclear Safety Regulatory Committee by the Government,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
AM-COA-105040,RA National Security Council (Armenia),RA National Security Council,AM,Armenia,Government,10,2020 Budget,https://datacatalog.worldbank.org/search/dataset/0040229
